pokedex_number,name,japanese_name,type1,type2,abilities,hp,attack,defense,sp_attack,sp_defense,speed,base_total,classfication,generation,is_legendary,experience_growth,capture_rate,base_egg_steps,base_happiness,height_m,percentage_male,weight_kg,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
25,Pikachu,Pikachuピカチュウ,electric,,"['Static', 'Lightningrod']",35,55,40,50,50,90,320,Mouse Pokémon,1,0,1000000,190,2560,70,0.4,50,6,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
26,Raichu,Raichuライチュウ,electric,electric,"['Static', 'Lightningrod', 'Surge Surfer']",60,85,50,95,85,110,485,Mouse Pokémon,1,0,1000000,75,2560,70,,50,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
27,Sandshrew,Sandサンド,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",50,75,90,10,35,40,300,Mouse Pokémon,1,0,1000000,255,5120,70,,50,,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
28,Sandslash,Sandpanサンドパン,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",75,100,120,25,65,65,450,Mouse Pokémon,1,0,1000000,90,5120,70,,50,,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
29,Nidoran♀,Nidoran?ニドラン♀,poison,,"['Poison Point', 'Rivalry', 'Hustle']",55,47,52,40,40,41,275,Poison Pin Pokémon,1,0,1059860,235,5120,70,0.4,0,7,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
30,Nidorina,Nidorinaニドリーナ,poison,,"['Poison Point', 'Rivalry', 'Hustle']",70,62,67,55,55,56,365,Poison Pin Pokémon,1,0,1059860,120,5120,70,0.8,0,20,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
31,Nidoqueen,Nidoqueenニドクイン,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",90,92,87,75,85,76,505,Drill Pokémon,1,0,1059860,45,5120,70,1.3,0,60,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2
32,Nidoran♂,Nidoran?ニドラン♂,poison,,"['Poison Point', 'Rivalry', 'Hustle']",46,57,40,40,40,50,273,Poison Pin Pokémon,1,0,1059860,235,5120,70,0.5,100,9,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
33,Nidorino,Nidorinoニドリーノ,poison,,"['Poison Point', 'Rivalry', 'Hustle']",61,72,57,55,55,65,365,Poison Pin Pokémon,1,0,1059860,120,5120,70,0.9,100,19.5,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
34,Nidoking,Nidokingニドキング,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",81,102,77,85,75,85,505,Drill Pokémon,1,0,1059860,45,5120,70,1.4,100,62,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2
35,Clefairy,Pippiピッピ,fairy,,"['Cute Charm', 'Magic Guard', 'Friend Guard']",70,45,48,60,65,35,323,Fairy Pokémon,1,0,800000,150,2560,140,0.6,24.6,7.5,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
36,Clefable,Pixyピクシー,fairy,,"['Cute Charm', 'Magic Guard', 'Unaware']",95,70,73,95,90,60,483,Fairy Pokémon,1,0,800000,25,2560,140,1.3,24.6,40,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
37,Vulpix,Rokonロコン,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",38,41,40,50,65,65,299,Fox Pokémon,1,0,1000000,190,5120,70,,24.6,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
38,Ninetales,Kyukonキュウコン,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",73,67,75,81,100,109,505,Fox Pokémon,1,0,1000000,75,5120,70,,24.6,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
39,Jigglypuff,Purinプリン,normal,fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",115,45,20,45,25,20,270,Balloon Pokémon,1,0,800000,170,2560,70,0.5,24.6,5.5,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1
40,Wigglytuff,Pukurinプクリン,normal,fairy,"['Cute Charm', 'Competitive', 'Frisk']",140,70,45,85,50,45,435,Balloon Pokémon,1,0,800000,50,2560,70,1,24.6,12,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1
41,Zubat,Zubatズバット,poison,flying,"['Inner Focus', 'Infiltrator']",40,45,35,30,40,55,245,Bat Pokémon,1,0,1000000,255,3840,70,0.8,50,7.5,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1
42,Golbat,Golbatゴルバット,poison,flying,"['Inner Focus', 'Infiltrator']",75,80,70,65,75,90,455,Bat Pokémon,1,0,1000000,90,3840,70,1.6,50,55,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1
43,Oddish,Nazonokusaナゾノクサ,grass,poison,"['Chlorophyll', 'Run Away']",45,50,55,75,65,30,320,Weed Pokémon,1,0,1059860,255,5120,70,0.5,50,5.4,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
44,Gloom,Kusaihanaクサイハナ,grass,poison,"['Chlorophyll', 'Stench']",60,65,70,85,75,40,395,Weed Pokémon,1,0,1059860,120,5120,70,0.8,50,8.6,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
45,Vileplume,Ruffresiaラフレシア,grass,poison,"['Chlorophyll', 'Effect Spore']",75,80,85,110,90,50,490,Flower Pokémon,1,0,1059860,45,5120,70,1.2,50,18.6,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
46,Paras,Parasパラス,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",35,70,55,45,55,25,285,Mushroom Pokémon,1,0,1000000,190,5120,70,0.3,50,5.4,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5
47,Parasect,Parasectパラセクト,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",60,95,80,60,80,30,405,Mushroom Pokémon,1,0,1000000,75,5120,70,1,50,29.5,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5
48,Venonat,Kongpangコンパン,bug,poison,"['Compoundeyes', 'Tinted Lens', 'Run Away']",60,55,50,40,55,45,305,Insect Pokémon,1,0,1000000,190,5120,70,1,50,30,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
49,Venomoth,Morphonモルフォン,bug,poison,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",70,65,60,90,75,90,450,Poison Moth Pokémon,1,0,1000000,75,5120,70,1.5,50,12.5,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
50,Diglett,Digdaディグダ,ground,ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",10,55,30,35,45,90,265,Mole Pokémon,1,0,1000000,255,5120,70,,50,,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
51,Dugtrio,Dugtrioダグトリオ,ground,ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",35,100,60,50,70,110,425,Mole Pokémon,1,0,1000000,50,5120,70,,50,,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
52,Meowth,Nyarthニャース,normal,dark,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",40,35,35,50,40,90,290,Scratch Cat Pokémon,1,0,1000000,255,5120,70,,50,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
53,Persian,Persianペルシアン,normal,dark,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",65,60,60,75,65,115,440,Classy Cat Pokémon,1,0,1000000,90,5120,70,,50,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
54,Psyduck,Koduckコダック,water,,"['Damp', 'Cloud Nine', 'Swift Swim']",50,52,48,65,50,55,320,Duck Pokémon,1,0,1000000,190,5120,70,0.8,50,19.6,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
55,Golduck,Golduckゴルダック,water,,"['Damp', 'Cloud Nine', 'Swift Swim']",80,82,78,95,80,85,500,Duck Pokémon,1,0,1000000,75,5120,70,1.7,50,76.6,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
56,Mankey,Mankeyマンキー,fighting,,"['Vital Spirit', 'Anger Point', 'Defiant']",40,80,35,35,45,70,305,Pig Monkey Pokémon,1,0,1000000,190,5120,70,0.5,50,28,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
57,Primeape,Okorizaruオコリザル,fighting,,"['Vital Spirit', 'Anger Point', 'Defiant']",65,105,60,60,70,95,455,Pig Monkey Pokémon,1,0,1000000,75,5120,70,1,50,32,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
58,Growlithe,Gardieガーディ,fire,,"['Intimidate', 'Flash Fire', 'Justified']",55,70,45,70,50,60,350,Puppy Pokémon,1,0,1250000,190,5120,70,0.7,75.4,19,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
59,Arcanine,Windieウインディ,fire,,"['Intimidate', 'Flash Fire', 'Justified']",90,110,80,100,80,95,555,Legendary Pokémon,1,0,1250000,75,5120,70,1.9,75.4,155,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
60,Poliwag,Nyoromoニョロモ,water,,"['Water Absorb', 'Damp', 'Swift Swim']",40,50,40,40,40,90,300,Tadpole Pokémon,1,0,1059860,255,5120,70,0.6,50,12.4,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
61,Poliwhirl,Nyorozoニョロゾ,water,,"['Water Absorb', 'Damp', 'Swift Swim']",65,65,65,50,50,90,385,Tadpole Pokémon,1,0,1059860,120,5120,70,1,50,20,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
62,Poliwrath,Nyorobonニョロボン,water,fighting,"['Water Absorb', 'Damp', 'Swift Swim']",90,95,95,70,90,70,510,Tadpole Pokémon,1,0,1059860,45,5120,70,1.3,50,54,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5
63,Abra,Caseyケーシィ,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",25,20,15,105,55,90,310,Psi Pokémon,1,0,1059860,200,5120,70,0.9,75.4,19.5,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
64,Kadabra,Yungererユンゲラー,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",40,35,30,120,70,105,400,Psi Pokémon,1,0,1059860,100,5120,70,1.3,75.4,56.5,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
65,Alakazam,Foodinフーディン,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",55,50,65,175,105,150,600,Psi Pokémon,1,0,1059860,50,5120,70,1.5,75.4,48,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
66,Machop,Wanrikyワンリキー,fighting,,"['Guts', 'No Guard', 'Steadfast']",70,80,50,35,35,35,305,Superpower Pokémon,1,0,1059860,180,5120,70,0.8,75.4,19.5,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
67,Machoke,Gorikyゴーリキー,fighting,,"['Guts', 'No Guard', 'Steadfast']",80,100,70,50,60,45,405,Superpower Pokémon,1,0,1059860,90,5120,70,1.5,75.4,70.5,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
68,Machamp,Kairikyカイリキー,fighting,,"['Guts', 'No Guard', 'Steadfast']",90,130,80,65,85,55,505,Superpower Pokémon,1,0,1059860,45,5120,70,1.6,75.4,130,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
69,Bellsprout,Madatsubomiマダツボミ,grass,poison,"['Chlorophyll', 'Gluttony']",50,75,35,70,30,40,300,Flower Pokémon,1,0,1059860,255,5120,70,0.7,50,4,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
70,Weepinbell,Utsudonウツドン,grass,poison,"['Chlorophyll', 'Gluttony']",65,90,50,85,45,55,390,Flycatcher Pokémon,1,0,1059860,120,5120,70,1,50,6.4,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
71,Victreebel,Utsubotウツボット,grass,poison,"['Chlorophyll', 'Gluttony']",80,105,65,100,70,70,490,Flycatcher Pokémon,1,0,1059860,45,5120,70,1.7,50,15.5,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
72,Tentacool,Menokurageメノクラゲ,water,poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",40,40,35,50,100,70,335,Jellyfish Pokémon,1,0,1250000,190,5120,70,0.9,50,45.5,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5
73,Tentacruel,Dokukurageドククラゲ,water,poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",80,70,65,80,120,100,515,Jellyfish Pokémon,1,0,1250000,60,5120,70,1.6,50,55,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5
74,Geodude,Isitsubuteイシツブテ,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",40,80,100,30,30,20,300,Rock Pokémon,1,0,1059860,255,3840,70,,50,,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
75,Graveler,Goloneゴローン,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",55,95,115,45,45,35,390,Rock Pokémon,1,0,1059860,120,3840,70,,50,,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
76,Golem,Golonyaゴローニャ,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",80,120,130,55,65,45,495,Megaton Pokémon,1,0,1059860,45,3840,70,,50,,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
77,Ponyta,Ponytaポニータ,fire,,"['Run Away', 'Flash Fire', 'Flame Body']",50,85,55,65,65,90,410,Fire Horse Pokémon,1,0,1000000,190,5120,70,1,50,30,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
78,Rapidash,Gallopギャロップ,fire,,"['Run Away', 'Flash Fire', 'Flame Body']",65,100,70,80,80,105,500,Fire Horse Pokémon,1,0,1000000,60,5120,70,1.7,50,95,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
79,Slowpoke,Yadonヤドン,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",90,65,65,40,40,15,315,Dopey Pokémon,1,0,1000000,190,5120,70,1.2,50,36,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
80,Slowbro,Yadoranヤドラン,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",95,75,180,130,80,30,590,Hermit Crab Pokémon,1,0,1000000,75,5120,70,1.6,50,78.5,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
81,Magnemite,Coilコイル,electric,steel,"['Magnet Pull', 'Sturdy', 'Analytic']",25,35,70,95,55,45,325,Magnet Pokémon,1,0,1000000,190,5120,70,0.3,,6,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1
82,Magneton,Rarecoilレアコイル,electric,steel,"['Magnet Pull', 'Sturdy', 'Analytic']",50,60,95,120,70,70,465,Magnet Pokémon,1,0,1000000,60,5120,70,1,,60,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1
83,Farfetch'd,Kamonegiカモネギ,normal,flying,"['Keen Eye', 'Inner Focus', 'Defiant']",52,90,55,58,62,60,377,Wild Duck Pokémon,1,0,1000000,45,5120,70,0.8,50,15,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
84,Doduo,Dodoドードー,normal,flying,"['Run Away', 'Early Bird', 'Tangled Feet']",35,85,45,35,35,75,310,Twin Bird Pokémon,1,0,1000000,190,5120,70,1.4,50,39.2,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
85,Dodrio,Dodorioドードリオ,normal,flying,"['Run Away', 'Early Bird', 'Tangled Feet']",60,110,70,60,60,110,470,Triple Bird Pokémon,1,0,1000000,45,5120,70,1.8,50,85.2,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
86,Seel,Pawouパウワウ,water,,"['Thick Fat', 'Hydration', 'Ice Body']",65,45,55,45,70,45,325,Sea Lion Pokémon,1,0,1000000,190,5120,70,1.1,50,90,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
87,Dewgong,Jugonジュゴン,water,ice,"['Thick Fat', 'Hydration', 'Ice Body']",90,70,80,70,95,70,475,Sea Lion Pokémon,1,0,1000000,75,5120,70,1.7,50,120,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
88,Grimer,Betbeterベトベター,poison,poison,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",80,80,50,40,50,25,325,Sludge Pokémon,1,0,1000000,190,5120,70,,50,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
89,Muk,Betbetonベトベトン,poison,poison,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",105,105,75,65,100,50,500,Sludge Pokémon,1,0,1000000,75,5120,70,,50,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
90,Shellder,Shellderシェルダー,water,,"['Shell Armor', 'Skill Link', 'Overcoat']",30,65,100,45,25,40,305,Bivalve Pokémon,1,0,1250000,190,5120,70,0.3,50,4,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
91,Cloyster,Parshenパルシェン,water,ice,"['Shell Armor', 'Skill Link', 'Overcoat']",50,95,180,85,45,70,525,Bivalve Pokémon,1,0,1250000,60,5120,70,1.5,50,132.5,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
92,Gastly,Ghosゴース,ghost,poison,['Levitate'],30,35,30,100,35,80,310,Gas Pokémon,1,0,1059860,190,5120,70,1.3,50,0.1,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1
93,Haunter,Ghostゴースト,ghost,poison,['Levitate'],45,50,45,115,55,95,405,Gas Pokémon,1,0,1059860,90,5120,70,1.6,50,0.1,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1
94,Gengar,Gangarゲンガー,ghost,poison,['Cursed Body'],60,65,80,170,95,130,600,Shadow Pokémon,1,0,1059860,45,5120,70,1.5,50,40.5,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1
95,Onix,Iwarkイワーク,rock,ground,"['Rock Head', 'Sturdy', 'Weak Armor']",35,45,160,30,45,70,385,Rock Snake Pokémon,1,0,1000000,45,6400,70,8.8,50,210,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
96,Drowzee,Sleepeスリープ,psychic,,"['Insomnia', 'Forewarn', 'Inner Focus']",60,48,45,43,90,42,328,Hypnosis Pokémon,1,0,1000000,190,5120,70,1,50,32.4,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
